,Review,Ratings
1149,very busy brilliant location room very comfortable lovely view harbour pool very nice although very busy get great view city hotel location perfect view brilliant overall pretty expensive,Positive
1150,beautiful large read already know unique architecture splurge bit large room upper floor look city beautiful night day think harbor view would interest day perhaps less night take advantage large shopping center part complex daily basis infinity pool top floor major draw day quite crowd day almost empty no idea except guess large conference day not others quality service employee top notch think location close many best,Positive
1151,wow great experience meet expectation big able really pay attention detail world renowned poll really impressed grandor really great family,Positive
1152,family stay day amazing time wasn parent first time extremely satisfy first visit private check suit great very efficient club great breakfast go head dinner room great perfect view city nightly light show pool course highlight highly recommend everyone want amazing stay,Positive
1153,view amaze however charge slightly high elevator ride charge may optimize restaurant set offer vegetarian food view amaze air amazing plan visit late evening open till pm,Positive
1154,unusual building perfect something different every respect cocktail roof enjoy beautiful view magnificent not far away fantastic garden bay,Positive
1155,great enjoyed room facility restaurants pool location great would recommend little pricey worth certainly would go back ever,Positive
1156,stayed may book grand club room stay rd floor tower fantastic room great access site around beautiful view garden ocean lavo great ce la vi awesome,Positive
1158,absolutely stun ever since see mb amazing hotel want stay treat last night fly back bali rooftop pool unbelievable view incredible very smooth operation even standard room lovely great view city must visit,Positive
1159,visit renku lunge several time businesss meeting finally attend warm waitress m michaela buck star make colleague feel like home friendly smile care question proactive check definitely make one best service people resort,Positive
1160,v stay mb every year since half decade find year stay best staff become friendlier give suitable floor stay not much hassle room din simply marvelous new bar load fun infinity pool still glamorous star,Positive
1161,lovely walk along promenade night backdrop marina bay sand light water show evening also spectacular difficult see people very front get decent view unlike light show saw no provision view although would detract promenade area,Positive
1162,stun grate experience service facility excellent memorable stay staff very friendly professional pool experience unbelievable roof top bar view top incredible,Positive
1163,great location right need shop restaurant sight see close airport staff very friendly helpful room everything need include iron board iron find difficult get lounger pool very busy pool very crowd would recommend stay,Positive
1164,great view th floor executive room highlight definitely view infinity pool think worth stay least one night experience lifetime pool pool stun crowd view get unique definitely one nice infinity big pool see far however quite crowded opinion make less relaxing view actually let forget spa crowd love banyan tree spa feel relax sublime excellent service room stay deluxe room room clean modern really high quality lobby one thing didn like much didn feel like usual star,Positive
1165,fabulous love location pool room breakfast awesome vibe wish cheaper could stay longer think bell boys uniform casual top notch eat food court b h fight get table,Positive
1166,highlight definitely infinity pool think worth stay least one night experience lifetime pool pool stun view get unique definitely one nice infinity pool see far however quite crowded opinion make less relaxing view actually let forget room stay deluxe room room clean modern really high quality lobby one thing didn like much didn feel like usual star star experience start lobby staff greets take luggage etc didn happen crowd felt like attraction v,Positive
1167,shop convention expo garden bay entire marina bay area door step decent stay expensive pay convenience view prepare unit fair share wait time check somehow feel longer others,Positive
1168,adult son stay night week ago cannot say enough much enjoyed room city view around th floor not sure exactly room huge large bathroom whistle bell staff superb couldn ask rooftop pool unbelievable since see enough sing spend time pool next visit little pricey get try least cannot wait stay thank marina bay time life,Positive
1169,never go wrong mbs convenient location probably best outside sentosa guest love infinity pool bar room even shop area downside probably pickup area often congest difficult driver pick guest,Positive
1171,stun centre must visit world experience feel like royalty amaze wonderful suite incredible view pool unbelievable club option brilliant make honeymoon extra special staying,Positive
1172,read unfavourable review almost make change mind stay happy go ahead stay night amaze service right check check travel one year old baby provide everything need room include thing didn ask helpful yes busy foyer public area not point needed wait lift speak staff member countless restaurant choose even high end option accommodate child room spacious even cot view garden bay lovely infinity pool make stay worthwhile view spectacular find not busy lunch,Positive
1173,stay last year way europe place blew away receive upgrade room view harbour city very much appreciate room beautifully fit remind encore las vega many way highlight us though rooftop bar view top incredible cocktail list superb think one everything menu end night glynn bar manager go beyond couldn do make us feel welcome food offering also pork belly may greatest bite experienced life opportunity stay not hesitate pull trigger book,Positive
1174,stayed night everyone tell place stay entrance felt like airport large extremely busy queue check reward upgraded high floor room overlook garden room very comfortable breakfast delicious go pool not pleasant experience very busy child guest take selfies very tasty meal italian restaurant roof delicious cocktail come price pay view disappointing part stay check ask could spend day pool late flight refuse give back key lose pool pas beauty,Positive
1175,stay mb something always dream surely say expectation totally meet even exceeded whole experience amazing aspect staff service food overall experience incredible start come expect boutique experience very people facility pool total nonsense yes people time pool observation deck elevator mb disappoint not make sense book night club room skyline city view absolutely sweet spot value price find mean no brainer check,Positive
1176,dont get wrong beautiful piece art outside absolutely stun piece architecture dwarf much skyline inside clean magnificent however find lacking character room everything very safe very beige nothing stand room comfortable clean bed soft million feather really safe would like slightly dazzling room price one thing didn expect pool top clean heard horror story pool actually pleasantly surprised cleanliness thing consider overal mb safe bet look something,Positive
1177,first saw several year ago watch f gp since die stay chance year night cruise everything hop satisified excellent check service infinity pool roof see pool believe word cannot describe view pool stay club room recomend spending extra get stay high floor express lift get priority check although forgot access club room top floor snack drink breakfast also include restaurant th floor amazing view room everything need quite large stay,Positive
1179,second time not grateful enough staff lovely suite give us travel mom brother first time mbs staff make sure ti make memorable one love pool room view room big super clean staff kind prompt must stay amazing experience cant wait visit,Positive
5944,guess mb famous even bother service isn star grade especially work poolside yes despite people include still go icon wish service quality level expect staff best best lastly would still like commend housekeep department job well do especially chinese guy task go deliver microwave rental very friendly demeanour always willing help forget name hope mb staff like,Neutral
652,nd time book mb request big room transfer small one request additional bedding pillow come immediately extra bottled water also come upon request tv cable not set call room service do infinity pool crowd even early morning,Neutral
10012,great view top clearly see busy ship lane world plus also get good view garden bay downsides no shade blaze sun not allow pool area,Neutral
1112,first check felt like zoo many tourist busy way many room couldn use facility especially pool open non guest felt not exclusive private crowd everywhere couldnt stand restaurant full not enough staff take care amount people not go back room nice good view good thing day experience,Neutral
74,mb supposingly one premium look forward high expectation since price usually within get discount rate good time see hype covid know hassle get people safe distance child pram luggage sadly find difficulty door wasn automate door pull push heavy glass door erm figure way guess staff busy safety ambassador valet park attendant screen temperature nobody attend door check smooth request grant everywhere go greeted much love warmth,Neutral
9289,book week prior great get room pretty much good deal term money room good everything work pool awesome like u expect spent night bar side pool tge skyscraper view top city plus point average point food didn worth price expect personalize service busy bunch people u get u pay not expect flawless service,Neutral
8600,book superior room city view approx pay inclusive tax usd per night stay night room nice big able try different hotel past visit practically standard sized room hotels no bathtub superior room see bathroom look make consider room overprice breakfast good make sure come early fall line since huge expect cue longer note pay extra bfast since not include rate yet love bed bedding comforter beware mini bar fridge since computerize detector charge automatically u move anything swim pool top nice,Neutral
7268,recently attend conference bad toilet stink food arrives really late course lunch finish without coffee tea people star empty cup good room clean staff nice room service good,Neutral
7886,very pretty outside great bar top floor however way big busy like check uneventful room ok however think little spoilt come st regis room great view garden view tower one however no bathtub tower one like bath bar upstairs ok except no seating table reserve know table always empty drink overprice however view amazing security get restaurant pool horrible room wasn ready check give pool key wait go upstairs restaurant fully dress,Neutral
7507,th anniversary no doubt mark staff near infinity pool not friendly cooperative even lobby area not bother customer fact even smile serve anyways infinity pool mind blow spent whole day,Neutral
3799,family four stay marina bay sand three night christmas new year family room second floor knew would not much view book fine however windows door not sound proof hear traffic outside night long room very spacious well present although interest see little detail look seal tile join very patchy would not pass five star hotel lift seem no air condition often crowd lobby very busy entire resort include shoppes massive lack room chair simply sit pool deck great get photo,Neutral
3601,december awful room nice harbour view great overcrowd full kiddy go pose post selfies instagram least seem won lottery afford pay unacceptable bad price quality relation view singapur spectacular famous pool overcrowd cold water wind definitvely freeze even fahrenheit outside woman jump full clothes scarf pool service good definitively overprized want stayx night no wanna go roof nice bar restaurant free access,Neutral
7439,wife daughter trip another family four visiting hong kong australia trip wife th birthday also see son australia wife th birthday want make special emailed hotel concern see could help make extra special not respond marina bay sand arrive hotel either upgraded room put bottle bubbly room arrival marina bay sand last stop trip daughter share room us least expected queen bed actually get king plus camp bed no room upgrade bubbly not expect anything family,Neutral
907,stayed night pay two flight early flight merlion suite meet requirement add bonus little room gym massage hairdressing room general staff room service butler lovely unfortunately downside management seem bit greedy flight pay two night order keep room still get charge breakfast next day clearly not one breakfast need no compensation need wait queue breakfast unless pay butler behalf pool overcrowd dirty come four year ago totally different think due pool great view place become popular,Neutral
11212,shock stepped lobby very noisy like mall felt like star reception check partner night premiere suite give room th floor city marina view room clean whole layout im not impressed due maybe high expectation skypark infinity pool water not clean very crowded noisy like walk beach personally felt wow thing view overall average,Neutral
4439,very excited felt like no soul like shop centre lobby swim pool amazing view best bar service very slow verge awful view,Neutral
7529,bucket list thing want swim infinity pool nice room overlook garden bay great watch nightly light show no balcony furniture massive balcony not even one chair doesn make sense two massive bed comfy bathroom lovely room service presentation great food wasn beef burger undercooked despite ask well do overprice come home severe food poison either mbs superhero cafe,Neutral
9570,forget go marina bay sand even play casino not visit original passport singaporean charge entry visitor get free entry,Neutral
5429,good view pool bar top breakfast top deck service integrate shops location room service good variety restaurant complex great bad room very average mean disappointing go back good location,Neutral
304,premier king city sky view room solo traveller upon check go straight pool main attraction unfortunately underwhelming arrive left disappointed spent alot money chose bed close water newspaper piece wet around bed cutlery floor empty bottle paper pool really dirty barman walk back forth jus ignore unhygienic mess no clean sight give order barman ask could pick soak newspaper bed politely also mention litter everywhere really bad leave hour pick floor,Neutral
1778,new show sign wear tear pay king harbor view room th floor c not cool like make lot noise bed uncomfortable hard lobby very very crowd would visit not stay not worth even nice infinity pool th floor no quite place entire common area one relax dodge people everywhere pay high rate stay ain worth,Neutral
8239,friend book suite club membership aud per night jan room great service not good experience reserve room name check pay credit card pay checkedin know refer served name interest also find service floor staff very average fancy express service bellboy very friendly however others need alot improvement include staff infinity poor,Neutral
8802,infinity pool floor definitely amazing however room standard isn anything justify high price charge check check efficient lack human touch finally give connect room endure noise room two night go reception promptly change us question give us connect room first place couple not reserve family relative,Neutral
10795,though mbs one landmarks simply fails deliver quality true first class sheer size crowd deal make not attractive proposition eye infiniti pool photo op would pull back per night service pretty much non existent not feel stay landmark one best city world furniture fitting pretty okay compare like movenepick heritage etc not something would recommend unless want infiniti pool photo op,Neutral
9575,pro amaze view cool roof top pool bar adjascent luxury brand mall mrt bayfront station many touristy attraction around garden bay fly water full light etc celebrity chef restaurant casino con room facility tv wifi bathroom fixture expect high end room facility one best building world disappoint enter room dont get wow effect get enter lobby roof top pool check take us forever queue fast front desk staff need minute get us available room another hour get room ready us arrive pm texted us room ready,Neutral
3803,stay marina bay sand night late december yep impressive structure vast lots glass glitz one kind rooftop pool service pretty good expect price cost stay check exceptional room not think order upgraded free well tell special thanks grace fantastic check con crowd busy feel like major airport make experience very impersonal drawback very inconvenient annoy carry security card time get pool use pool loo leave pool whilst,Neutral
6029,stay night complimentary stay beautiful room huge amazing view marina bay area club access cheap toiletry bath towel tiny request baby bed change baby accident not turn hour request house keep appear shortly bed change promptly request later check due nap time appointment etc deny sound though didn even bother check immediately inform check full occupancy already request late checkout till noon staff not appear know wonder system guest profile request etc maybe not utilised staff mini bar fully,Neutral
11275,very disappointed room service tell room ready locate level request smoking room ask change high level room cannot do since available smoking room later room call housekeeping ashtray unfortunately tell non smoking room felt very funny explain told smoking room ask recheck receptionist minute call confirm non smoking room not professional waste time know would happen definitely ask non smoking room locate high level view room level see nothing taxi,Neutral
9855,glad stay swim high pool world guest swim go bar lookout opinion would good idea course massive look somewhere nice holiday spot not relax certainly feel like want spend time lay around pool busy room nice didn like hire fridge room buy trolley plonk room take space cost breakfast nice many people very well organise queue move fast coffe tea table also serve nice fruit one thing very put,Neutral
6302,trip mb suppose ice cake week trip uk unfortunately son get sick spend day hospital london force us postpone arrival manage change book cost us extra original quote price due flight time arrive hop early check not slept day son still not feel best hospital stay not possible completely understand desk staff say would email us room ready explain situation ask somewhere could rest lobby very uncomfortable stone bench sit even cheap hotel least,Neutral
7905,really not worth money opinion take us minute check quite people queue unavoidable size however didn even bother open check desk one concierge take us vip check probably make wait even longer vip check much small room good size well furnish great garden view th floor however shower woeful water pressure non existent water dribble sub par shower head mount wall definitely not rain shower expect top reason stay pool view unbeatable go straight adult,Neutral
10978,spectacular location face inwards rather outwards collection international name could city location exception dragonfly bridge connect garden bay surreal tree structure garden pool deck ontop structure may worthwhile unable access gp luxury felt shallow,Neutral
9502,very well know excellent facility wonderful view amaze pool great room good breakfast etc etc get star without doubt however disappointing several aspect very big become very impersonal enough staff seem care customer often not well train would hope also very expensive even standard really charge extra e g breakfast not include bad transport service airport way much even bad want arrange car pick wife airport want another ride car way could meet,Neutral
1499,huge complex mean lobby feel like cheap shopping mall room nice place tourist trap book one evening stop good hotel worth infinity pool mmm stay room pool use gym maybe venture downstairs no longer feel relaxed overprice,Neutral
4522,stayed night true review infinity pool view amaze pool way crowd proper swim sheer amount people pool real doubt cleanliness room well equipped spacious nothing shout due sheer size probably ask much good service check impersonal even vip registration full guest wait serve room service come appropriate amount time lifts bad frequency constantly full low floor couldn even get,Neutral
6387,like high end service good nothing extra ordinary reason stay check swim pool top pro fantastic view roof top swimming pool deck area staff very cordial requesting upgraded room rd floor view room great well get room view city room great condition con staff busy serve care swim pool lobby area wont get enough attention oppose amount money pay room service value vs money not good go breakfast rate go lot not make,Neutral
9289,book week prior great get room pretty much good deal term money room good everything work pool awesome like u expect spent night bar side pool tge skyscraper view top city plus point average point food didn worth price expect personalize service busy bunch people u get u pay not expect flawless service,Neutral
10693,marina bay sand lovely however anticipate would little glamorous market restaurant seriously overprice locate attached shopping centre may nice restaurant locate actual also seem no dress code throughout bar restaurant even though fine din customer service also hit miss always seem rushed lack personal touch could due sheer volume people stay place seem extremely hectic casino also disappointment find quite depress nothing like casino anywhere else world no one drink alcohol atmosphere,Neutral
1536,book pay advance total room night stay value dealer guest complain treat rudely mostly middle eastern female staff check counter girl lack politeness courtesy make conversation seem feel proud superior guest check work like turtle queue check counter tower always long hope win see visit come april overall room average like balcony come room face garden breakfast delicious choose restaurant amaze concierge nice even bell boy very polite set female middle eastern ethnic origin,Neutral
11160,really look forward stay renowned perhaps problem raise expectation high not high room rate might make anyway really not great value nonetheless mention reviewer also sufficiently impressed view skypark especially night view infinity pool enjoy use uncrowded th floor gym also face skyline albeit unclear hazy day meal pleasant alfresco cafe tasty reasonably price perhaps place whole meet friendly staff appear philippine letdowns service must employ hundred,Neutral
9151,reason actually enjoy stay mbs upgraded standard room orchid suite include living room balcony view side felt much like resort not like luxury one would expect consider price people go go mbs pool tell really not worth pool always mean always open pm close completely pack people expensive camera nearly impossible get lounge chair anywhere pool area little no space anything perhaps sit along wall pool look city,Neutral
10063,stay three day place crowd take us minute check front desk poorly train get room fridge flood no coffee tea bags surroundings pool dirty pile high use damp towel not five star would not go back,Neutral
3320,very well know must say rat base experience start time check quality breakfast hygiene infinite pool till check would love not,Neutral
280,stay time year always enjoy come mbs however recent stay th feb notice quality bed rather poor cause experience severe back ache since stay very disappointed look forward good night sleep one best leave poor sleep back ache,Neutral
2999,stay teenager son request stay another city unimpressed stand lobby wait check hour lift busy nice without soul personal touch room nice big would not go back even teenager not impressed want check earlier tell lot,Neutral
10607,wonderful building room picturesque view especially roof pool giant shopping centre step rude staff spoil feeling problem reception speak rather nervous way wish personnel bit polite,Neutral
7496,disappointed stay night very day check toilet clog n tell housekeep outside room fix return even still not fix seriously feel rat,Neutral
5471,thought would treat family first night mb place enormous very busy check slow complain room ready us well advertise checkin time greatly appreciate come long flight enormity little difficult find way around eventually manage navigate way view th floor room amazing face garden bay room good proportion nothing special star property lift cushion chair next one bed see bed son plume dust waft otherwise room fine phone reception,Neutral
1752,arrive family long flight around pm enter take lovely man vip area check think would make process quick easy end stand check lady minute tap away computer first say hello begin check ask possibly stay additional night book night flight leave late night would love room extra night begin type away tell book room two cm single bed accommodate adult kid enter number people stay room book look picture presume queen size,Neutral
10884,amaze lot restaurant store fantastic pool big feel like someone shopping center really difficult find chair near pool really impersonal nice not come back,Neutral
2907,many people point massive tourist come china also indonesia increasingly india probably normal period would give star long weekend china fully book positive location bay garden stunning room modern spacious functional love breakfast spago th floor outside service good negative very crowd didn even want try pool also breakfast queue not acceptable level easily imagine great family child next time try fullerton bay,Neutral
2974,awful welcome front door set scene well reception plummet roof pool ala reflect quality finish poor suit sleepy bar vega guess big hotel aren thing one night ok photo infinity pool highlight room good size badly finish,Neutral
8880,enormous unfortunately poorly equip check desk cater crowds people arrive late evening quiet time still queue min check check no one offer help taking bags room basic information not relay us either get room phone ask breakfast serve time breakfast room face either bay city go bay view room stun view across garden bay room average decent size faint mildew whiff best thing rooftop pool stun view across city due music,Neutral
5713,very rated yes pool awesome make stay one night worthwhile clear let buy delegate ticket pool pool go room nice not price charge pool awesome always pack people room internet very slow point unusable checkin process extremely slow bell staff very slow unprofessional water pressure temperature suboptimal room air condition stick max cold get special deal stay one night enjoy pool otherwise stay another large room well service incredibly slow checkin,Neutral
2882,recently stay night honeymoon visit city break look amazing outside inside room huge bed comfortable very good condition lucky get city view amaze infinity pool also well worth stay however star lack star service moment get cab gentleman grab bag say would take room star hotel complimentary price not lucky spot small sign near valet desk say charge someone take bag politely decline people probably miss sign get hit,Neutral
9715,view incomparable spectacular top service check check wasn great quite inefficient non attentive rigid not very generous despite price rating nevertheless memorable stay l l,Neutral
10846,city within city no need go anywhere three powerful tall tower massive hold room together hold long pool ever build air very busy crowd loud taste casino restaurant constant local guests not value money definite tourist attraction make visit th floor pool nice clear view one see far eyes reach pool top tower unusual novelty,Neutral
6459,great view city skyline experience infinity pool pretty good however very crowded almost everywhere within resort bad experience valet communication very poor occasion car couldn locate due write carplate number wrongly good experience not return,Neutral
10804,obviously landmark marina bay sand definitely tick box travel residence celebrate anniversary bf us feel one night stay enough waste money not feel privacy intimacy cozy outside room whole crowd tourist feel like walk shop mall promotional season see many people around feel every time walk lobby lounge whatever call call shopping mall area din area lobby win peaceful environment enjoy food chat watch time,Neutral
11133,arrival iconic find carry luggage car get reception no one greet us make way desk lucky take minute say lucky witness queue long would take hour check tell two wait not unusual give bedroom easy understand look amount light not work dirt window easy see staff undermanned room clean nothing great go back lobby go new experience hundred chinese tourist cannon ball hallway three tower something like first day harrod sale pool,Neutral
5850,book last minute young kid night st january room premiere one sq king size bed small bottle water room bathrobe towel bathroom huge lot room restaurant expensive crowd very far shop mall ready high bill pool could worth impressive could take good photo one do won,Neutral
5639,book city view room club room parent orchid suite hubby check parent breeze hubby nightmare specifically advised month beforehand check early arrive room not ready parent room arrive around make us wait pm try follow worse transfer us one front desk personnel another already fume very obvious not coordinate well housekeep staff stay mb every year time open first time experience kind major inconvenience warm hospitality club wait staff help ease,Neutral
3782,stay marina bay sand last night night stay honest price pay night think room bang average no wow factor hence rating infinity pool restaurant shop centre amaze think price pay miss wow factor nothing wrong room spacious clean wasn special stay another night fraction price compare room outclass marina bay mile overall would say wasn value money consider price pay however get cheap would say definitely worth,Neutral
4799,no doubt marina bay sand world class world class staff service feature build stun room us guests exceptional care attention receive staff however taste damn big damn crowd magnificent infinity pool roof three tower crowd day often queue albeit not lengthy breakfast restaurant crowd people lobby hour lift often chockers often people wet swimsuit singular thing bug us child bar pay little extra accommodation cocktail canape,Neutral
3644,always think next time stay stayed one night end good call queue check check hideous long queues very small desk size room good spacious great view pool roof underwhelming honest cold very packed although aspected view queue breakfast go restaurant roof friend go buffet breakfast say must wait min repeatedly ask coffee glad leave feeling disappointed,Neutral
8991,first arrive yesterday line not bad people work seem very nice feel lot like vega very massive feel very loud very expensive offer club level service not worth extra charge meal club level mediocre best service seem very lost guest pay k per night service not alignment expense nor quality food decide stay two night others trip advisor suggest not nights advice well take go pool area wife forget sun screen bring us shock discover sell sunscreen hefty price dollar yes dollar,Neutral
8321,preference historic marina bay not really bag credit credit due owner acquire sensational piece memorabilia enquire mind lot offer brick mortar,Neutral
1499,huge complex mean lobby feel like cheap shopping mall room nice place tourist trap book one evening stop good hotel worth infinity pool mmm stay room pool use gym maybe venture downstairs no longer feel relaxed overprice,Neutral
4400,chance visit day want experience marina bay sand talk point bay unique shape whilst external brilliant talk point lack prestige internally big nothing write home purchase voucher per person minimum cost enter upstairs outdoor bar area redeemable either food drink either bar restaurant let warn pina colada not cheap food also pricey pay starter calamari no tiny piece eat bar no table available till pm take final food order pm walk without eat dinner pack people,Neutral
10870,well locate near garden train station shop centre course casino restaurant etc available massive building room nice luckily quite high facing garden get good view would want room high not really worth price room simple clean not overly spacious price no extra include price pool course go around pm night busy no place put thing really didn want jump pool may people especially since people pose selfies pool not really enjoy anyway decide set alarm,Neutral
10298,read plenty negative review go not bad expect slow check check check thrid tower seem improve front office service pool super awesome go day time night time view extraordinary side room design basically no design since didn really spend much time room not bad,Neutral
5677,jiggy people one not feel very special go gold like everyone check herd get room key get change bath robe roam hall bar pool etc keep look fish bowl key restaurant ok roof top bat offer spectacular view undoubtedly best drink price wait time random service match theme park room ordinary view bathroom suite unparalleled bathroom fabulous roberto cavalli shampoo moisturizers worth take home truly lovely value money well place stay build one spectacular architectural,Neutral
1599,book city view king club room receive exactly book good sized room good amenity not practical bed rock hard pillow very good bed kill back number great engineering feat lag badly warm feeling luxury book use club lounge warmly meet staff very nice remember us visit club large need many guest access no feeling exclusiveness full feeling cheap cafeteria kid everywhere no control food floor not clean leave multiple table even drink drink,Neutral
2605,whole location although very beautiful seem like rush job create massive landmark without slight thought toward organisation surprising access very restrictive mrt pedestrian get bottleneck busy time not enough way cross street safely single overhead pas tunnel become overload busy time accident wait happen,Neutral
702,room fine offer excellent view harbor bay lobby crowd time like tube station rush hour charge price expect privacy tranqulity also price charge mb would expect breakfast include,Neutral
11051,marina bay sand experience summarise terrible metaphor think look suite room service menu spot mi goreng price probably pretty good mi goreng sure presentation would exquisite really worth probably not marina bay sand mbs stay orchid suite mb three night quick vacation definitely amaze incredible architecture building far amazement go want high society personalise experience use boutique hotel regardless much pay mb not deliver definitely feel like sheep pack,Neutral
10755,expectation give pricey tag night not inclusive breakfast stay start wrong foot almost immediately one magnetic card fail eventually got room use card didn make big fuss room longish not quite spacious dismay however balcony empty mean like no chair no table no nothing empty desolate floor concrete dusty waste real estate country very little go around whatever think not encouraging us go balcony bathroom no bathtub not cool not cool usually people would rave pool suppose probably would do,Neutral
1977,drive woodland go impressive plant greeniries along street get close building humid time come doorman porter very friendly helpful spite busyness place lobby crowd full tourist check get confused lined staff stand queue luggage tell leave luggage listen porter leave luggage didn want check first think porter organise waited turn serve offer bottle water accept gusto moment already,Neutral
8635,very nice staff efficient service mind very big hotell room very ordinary fantastic view city crowd lobby crowd lift crowd rooftop pool bit crowd us book quiet next time,Neutral
9354,pick online base price amenity without realise unusual design layout futuristic look vast inside although booked two adult two teenage child tell check upgrade ensure enough space disappoint though fairness help us sort something furnishing room high quality breakfast buffet good standard room service work well skyline view rooftop pool amaze though go like peace quiet water quality not best sense something new excite us prefer personal touch,Neutral
8423,want experience unique pool top building view stay night win recommend very high price not include breakfast huge mistake high quality quality room ok compare price,Neutral
6534,location best location look bay area city room one top floor overlook ocean wonderful view wake mall connects everything need walk distance infinity pool best feature adult area kid area peace away shout child enjoy water view lot people go early enough claim chair room per night room not great look like contemporary room find elsewhere small balcony step overall clean tidy properly air condition guest go,Neutral
6390,really look forward stay end completely underwhelmed hype big reality never mind quality feel width two big thing go enormous zoo enormous horizon edge pool deck th floor require room key access bar view deck third tower open public subterranean casino could anywhere take club room nd floor business trip still pay extra go slow high speed internet access think bit rich room already cost night tax non smoke room bore stale smell earlier smoker mask cleaner disinfectant room,Neutral
10302,stay mbs couple night cny must say although room look ok service place non exciting staff want right feel well train lose many people around place many guest look much everything would never expect personalize service type massive property express check check fast fast service want provide make staff life easy remain airport moment think board gate go announce price wise expensive not much dollar club sandwich bit extreme sandwich presentation not even,Neutral
3374,staff courteous friendly helpful room comfortable good view view pool breathtaking pool quite crowd stayed night overall enjoyable stay although didn feel luxurious expect consider rather pricey,Neutral
4507,curse pool main attraction together shop center wich offer large variety high class shop water fountains show stood pool area divide two pool family pool adult really strict rule advice everybody look like family area someone doesn follow rule however look consistent isn poolbar cheap dollar burger dollar french fry dollar coconut milk room tower room big enough traveler acceptable price pay otherwise didn find anything special yes view pool great,Neutral
8026,spend two night mainly pool hype room lovely pool view beautiful honestly pay hefty price no breakfast include pay get fridge deliver disappointed lack late night food option consider size place overall felt big quite impersonal also overprice wanted experience roof top pool not return,Neutral
3967,mixed feeling star pricey location perfect like quick weekend catch show theater spent hour night mb literally never set foot mb complex find everything need however star lack ambiance normally find stars hotel nearby might due size very big queue check crowd use express check possible famous infinity pool very very crowd use exclusivity star sight pool surprise crowd second forgot star,Neutral
8483,first impression check not great lobby crowd noisy line check pretty long felt like lobby regular resort not unlike neighbour islands price room also strange check time unusually late pm check time unusually early find later guest allow check earlier cannot sure much earlier not convey us may well late check time state meant form crowd control not think fair guest unaware may mill around wait pm especially give amount people shell stay,Neutral
10889,stay purely conference venue overly price start consist three tower distance tower one three very far especially dodge people not tell tower stay walk end check overheard another staff tell guest behind us come wrong reception walk end check chinese restaurant din good nothing outstanding everything else plastic include shoppes adjacent husband go th floor skydeck quick look rhe pool one night tell us need room key get didn let husband very,Neutral
5714,stayed one night check craze find room standard nothing special many people pool good thing facility available finger tip shop centre garden restaurant,Neutral
8837,little indifferent towards aesthetically please luxurious presentation enjoy mega hotel indulgence love interest experience try not cup tea infinity pool bit circus later stay three night two interconnect room amaze view maximize floor ceiling window bed furniture finish top quality comfort level room might make not want leave amenity exquisite promptly replenish need great selection room tea coffee no nescafe see check experience lots instruction give ensure smooth stay,Neutral
3347,facility amenity available world lead no doubt not need read review know aspects truly exceptional disappointment stay make stay rather mixed highlight check process take hour wait queue hand free cornettos cold drink help get lady not speak clear english travel wife two toddler not pleased result poor check process lack english lady arrive room kingside bed cot us rather annoy brought service manager angry upset,Neutral
6511,celebrate friend th birthday stay family room day music festival location across road room face location heavy music start pump room literally shake thumb loud give us headache migraine quite disappoint not inform us prior arrival family suite would family stay room type would hate see young child cope nap time adult experience discomfort noise could not get room early enough avoid music let alone young child sleeps addition house keep,Neutral
11289,great atrocious practice let book one room force upgrade upon arrival room book either bad possible location floor want different good location must wait not know else available refuse believe checkout time noon mb not know room available pm predatory practice force pay additional fee check happen three time row simply inexcusable hop someone go something,Neutral
6951,stay two night pass good thing first amaze infinity pool one main reason want give go stay get freezing evening room modern good view breakfast selection plentiful decent quality large service ok many guest room hard consistent personable wait check long sometimes overwhelmingly busy many people tourist pass never feel relaxed location ok want convenience personal touch service probably look elsewhere also stay two day raffle definitely felt comfortable,Neutral
11364,overall experience not spectacular money spend would expect furniture give size room service good personnel kind attentive close large choice shop restaurant,Neutral
1891,arrive airport fly manchester uk come train avoid traffic omg never see many people reception fight crowds reception desk queue quite long asked queue club check man behind desk say yes wait min queue not seem move ask another man pass question say come way take us back crowds door say vip room go round room check desk water time need min get desk check knew would not get room early use pool area,Neutral
4473,spend last night mb check pm didn huge queue contend like reviewer nice room lovely garden view no bath nice white tea rise bathroom goody roof top pool shut due weather enjoyed garden light show balcony order room service send pound glass wine back pool eventually open wet dirty towel dress gown everywhere absolute mess get obligatory selfie get sorry story next morning felt like sheep everyone else try get dress gown pack lift mall big shop staff aren friendly,Neutral
5277,business decide stay next convention centre great location good conference gym good view outstanding first impression good reception member staff make feel very welcome room lovely really good quality set nice trip service room din great however let couple area housekeep mix good bad good day clean no refill basic room complimentary tea etc order simple request fill take patience call reception tea finally last day wait minute call get whitener leave event,Neutral
4713,building undeniably amazing architecture engineering modern marvel view rooftop breathtaking however actual experience like watch hollywood blockbuster bad script lot razzle dazzle lack soul past experience stay high end hotel disappointed service solid star time bad say restaurant wait staff excellent problem due sheer number room would appear check experience many people stay night thus churn enormous family two room stay night problem card not work pool deck lift restaurant automatically put,Neutral
